2025-07-21 13:06:37.396  2369-2369  DesktopModeFlags        com.testapp.bluesky_api_test         D  Toggle override initialized to: OVERRIDE_UNSET
2025-07-21 13:06:37.519  2369-2369  luesky_api_test         com.testapp.bluesky_api_test         I  hiddenapi: Accessing hidden method Landroid/view/ViewGroup;->makeOptionalFitsSystemWindows()V (runtime_flags=0, domain=platform, api=unsupported) from Landroidx/appcompat/widget/ViewUtils; (domain=app) using reflection: allowed
2025-07-21 13:06:37.559  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:37.562  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:37.566  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:37.591  2369-2369  CompatChangeReporter    com.testapp.bluesky_api_test         D  Compat change id reported: 63938206; UID 10215; state: ENABLED
2025-07-21 13:06:37.603  2369-2369  CompatChangeReporter    com.testapp.bluesky_api_test         D  Compat change id reported: 352594277; UID 10215; state: ENABLED
2025-07-21 13:06:37.645  2369-2369  CompatChangeReporter    com.testapp.bluesky_api_test         D  Compat change id reported: 303326708; UID 10215; state: ENABLED
2025-07-21 13:06:38.370  2369-2369  EngineFactory           com.testapp.bluesky_api_test         I  Provider GmsCore_OpenSSL not available
2025-07-21 13:06:38.922  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:39.017  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:39.042  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:39.075  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Image decoding logging dropped!
2025-07-21 13:06:39.591  2369-2369  MainFragment            com.testapp.bluesky_api_test         D  Loading timeline...
2025-07-21 13:06:39.630  2369-2369  CompatChangeReporter    com.testapp.bluesky_api_test         D  Compat change id reported: 349153669; UID 10215; state: ENABLED
2025-07-21 13:06:39.660  2369-2369  HWUI                    com.testapp.bluesky_api_test         W  Unknown dataspace 0
2025-07-21 13:06:39.991  2369-2369  RecyclerView            com.testapp.bluesky_api_test         E  No adapter attached; skipping layout
2025-07-21 13:06:40.335  2369-2619  System.err              com.testapp.bluesky_api_test         W  SLF4J(W): No SLF4J providers were found.
2025-07-21 13:06:40.336  2369-2619  System.err              com.testapp.bluesky_api_test         W  SLF4J(W): Defaulting to no-operation (NOP) logger implementation
2025-07-21 13:06:40.336  2369-2619  System.err              com.testapp.bluesky_api_test         W  SLF4J(W): See https://www.slf4j.org/codes.html#noProviders for further details.
2025-07-21 13:06:40.408  2369-2388  HWUI                    com.testapp.bluesky_api_test         I  Davey! duration=701ms; Flags=1, FrameTimelineVsyncId=11075, IntendedVsync=50407660524, Vsync=50440993856, InputEventId=0, HandleInputStart=50444995835, AnimationStart=50444999142, PerformTraversalsStart=50445001783, DrawStart=50738416599, FrameDeadline=50424327190, FrameStartTime=50444957057, FrameInterval=16666666, WorkloadTarget=16666666, SyncQueued=50802617569, SyncStart=50805465765, IssueDrawCommandsStart=50806470633, SwapBuffers=51083215480, FrameCompleted=51112042096, DequeueBufferDuration=4551, QueueBufferDuration=795591, GpuCompleted=51112042096, SwapBuffersCompleted=51087922670, DisplayPresentTime=0, CommandSubmissionCompleted=51083215480, 
2025-07-21 13:06:40.417  2369-2369  Choreographer           com.testapp.bluesky_api_test         I  Skipped 41 frames!  The application may be doing too much work on its main thread.
2025-07-21 13:06:41.037  2369-2369  Choreographer           com.testapp.bluesky_api_test         I  Skipped 35 frames!  The application may be doing too much work on its main thread.
